Extension,Version,Date,Security,Content
Fooman_PdfCore,14.0.0,2019-01-25,0,"ADDED:\nAbility to use currency formatting with Custom Product Attribute ColumnsConstructor Change in Fooman\PdfCore\Block\Pdf\Column\Renderer\ProductAttribute\nFIXED:\nRow Total Column should match Magento when using discounts\nCHANGED:\nRemoved ability to select Tier Price columns"
Fooman_PdfCore,13.1.0,2019-01-24,0,"ADDED:\nOriginal Price column\nCHANGED:\nAllow SKU product attribute to be displayed as it can be different to the ordered SKU"
Fooman_PdfCore,13.0.3,2018-12-13,0,"FIXED:\nEnsure Pdf responses are not cached"
Fooman_PdfCore,13.0.2,2018-11-27,0,"CHANGED:\nBold quantity if more than 1\nFIXED:\nUndefined offset notice when printing multiple packing slips with particular pagebreaks"
Fooman_PdfCore,13.0.1,2018-09-27,0,"FIXED:\nCheckbox image not loading"
Fooman_PdfCore,13.0.0,2018-09-25,1,"SECURITY:\nForce update to latest Tcpdf library version\nGuard against calls to file_exists for phar stream wrappersAll Constructors using Magento\Framework\Filesystem\Io\File changed to Helper\FileOps\nCHANGED:\nReorganise unit tests\nExplicitly state all dependencies"
Fooman_PdfCore,12.0.1,2018-09-13,0,"FIXED:\nImage in Footer may be get flipped due to page constraints"
Fooman_PdfCore,12.0.0,2018-09-12,0,"ADDED:\nAbility to set a label row on tableupdated view/frontend/templates/pdf/table.phtml\nFIXED:\nNull values are not formatted as currency\nProperty name clash with parent see Fooman\PdfCore\Block\Pdf\Column\Renderer\Currency"
Fooman_PdfCore,11.1.0,2018-09-05,0,"ADDED:\nAbility to specify column alignment"
Fooman_PdfCore,11.0.1,2018-08-31,0,"FIXED:\nFilename now works for pdf types without increment numbers"
Fooman_PdfCore,11.0.0,2018-08-06,0,"ADDED:\nNew Column Type: Qty Details\nBackground image can now be suppressed from the adminConstructor Change in \Fooman\PdfCore\Helper\BackgroundImage\nFIXED:\nLinebreaks in footer content - updated view/frontend/templates/pdf/footer.phtml"
Fooman_PdfCore,10.0.1,2018-06-05,0,"CHANGED:\nLocation of custom fonts is now under media/downloadable/pdfcustomfonts"
Fooman_PdfCore,10.0.0,2018-06-05,0,"ADDED:\nAbility to upload custom fontschanged constructor in \Fooman\PdfCore\Model\PdfRenderer"
